Matt Gardine, 2005

Attached is data which comes from the Geophysical Institute at the 
University of Alaska - Fairbanks.  It is from a flux-gate magnetometer 
stationed in Gakona, Alaska and was taken on March 26, 2005.  The 
starting time is 0:00 UTC, the sampling period is 1 minute, and the 
data set covers 24 hours (1440 samples).

Remote Station:  Gakona, AK -- Narod Flux Gate Magnetometer 
Degrees North Latitude and East Longitude 
Geographic  Latitude  : 62.39300 
Geographic  Longitude : 214.8700
Data for Day  85 of 2005, Mar 26 collected by GIMA - 
Geophysical Institute Magnetometer Array

Minute	H-Comp(nT)	D-Comp(nT)	Z-Comp(nT)

nx1=1440
dx1=60 s
fx1=0 s
f=
653	13988.75	-512.532	54088.45
654	13986.54	-501.300	54091.10
655	14006.45	-505.624	54083.96
656	14010.63	-512.643	54074.89
657	13987.28	-522.164	54063.50
658	13966.60	-525.455	54052.72
659	13939.56	-530.078	54038.40
660	13903.97	-543.187	54021.86
661	13853.95	-565.835	54004.97
662	13820.66	-578.443	53993.34
663	13793.89	-588.161	53983.01
664	13762.42	-598.901	53972.87
665	13734.87	-611.296	53965.37
666	13719.13	-622.353	53959.63
667	13692.20	-633.970	53950.95
668	13689.16	-647.035	53947.83
669	13684.06	-649.774	53944.14
670	13663.61	-656.046	53937.83
671	13646.42	-665.836	53930.49
672	13626.30	-677.555	53921.56
673	13595.99	-695.784	53919.41
674	13564.85	-706.253	53922.89
675	13520.58	-727.934	53913.28
676	13499.65	-744.152	53918.32
677	13507.79	-735.401	53923.54
678	13495.97	-757.907	53925.16
679	13503.24	-768.982	53927.22
680	13522.84	-768.353	53934.57
681	13541.77	-765.745	53944.25
682	13561.60	-751.139	53961.92
683	13576.13	-746.487	53981.64
684	13559.26	-739.892	54001.22
685	13550.74	-712.939	54020.24
686	13568.68	-703.071	54048.42
687	13579.69	-689.841	54066.92
688	13593.56	-704.068	54105.03
689	13616.60	-700.638	54143.06
690	13649.12	-689.063	54156.08
691	13686.66	-648.931	54161.63
692	13733.22	-611.038	54163.30
693	13755.72	-583.465	54158.36
694	13759.13	-569.822	54153.29
695	13798.64	-538.682	54159.91
696	13812.50	-512.865	54159.07
697	13794.98	-515.956	54165.78
698	13810.23	-507.499	54159.23
699	13834.92	-505.773	54147.13
700	13869.85	-490.262	54137.76
701	13881.07	-487.699	54122.84
702	13888.52	-485.546	54117.14
703	13918.56	-481.141	54110.69
704	13946.35	-476.733	54101.45
705	13969.54	-472.092	54091.13
706	13974.16	-472.760	54086.94
707	13967.53	-474.165	54087.82
